scenario,host_id,count,mean_cpu_utilization,std,min,percentile25,percentile50,percentile75,max,number_extend
Baseline,Host2,20098.0,3.529897004677082,0.5496547830180326,1.37,3.31,3.43,3.56,8.74,100000
Local Anchoring,Host1,10605.0,6.432427157001414,0.2835786233587853,4.16,6.36,6.44,6.54,8.92,100000
Local Anchoring,Host2,10605.0,6.530534653465346,0.42550523240288224,4.58,6.37,6.47,6.57,11.58,100000
Remote Anchoring,Host1,10558.0,6.646397044894865,0.4828303272390346,4.17,6.52,6.62,6.73,13.13,100000
Remote Anchoring,Host2,10558.0,6.82020931994696,0.65189557086494,4.71,6.61,6.72,6.84,14.36,100000
Remote Anchoring with mTLS,Host1,10650.0,6.828343661971831,0.4269196406639936,4.14,6.75,6.85,6.96,12.77,100000
Remote Anchoring with mTLS,Host2,10650.0,7.13146572769953,0.532023162035542,4.59,6.95,7.07,7.2,14.45,100000
Baseline,Host2,206.0,3.6112621359223294,0.30949740410007304,1.09,3.51,3.64,3.73,5.5,1000
Baseline,Host2,201.0,3.4911442786069653,0.3182030547930082,0.92,3.4,3.51,3.6,5.32,1000
Baseline,Host2,204.0,3.4165196078431372,0.2510238043543973,1.17,3.31,3.44,3.52,4.96,1000
Baseline,Host2,201.0,3.4157213930348256,0.31885200640743944,0.63,3.31,3.43,3.56,4.39,1000
